variant,model,target,ablated,csv,MAE,R2
raw,GP,C11,False,raw,45.87,0.5874
raw,GP,C12,False,raw,32.69,0.0434
raw,GP,C44,False,raw,3.54,0.6521
raw,MLP,C11,False,raw,19.24,0.9191
raw,MLP,C12,False,raw,15.59,0.7013
raw,MLP,C44,False,raw,3.26,0.6965
raw_no14,GP,C11,True,raw,38.8,0.6533
raw_no14,GP,C12,True,raw,24.39,0.4165
raw_no14,GP,C44,True,raw,3.72,0.6227
raw_no14,MLP,C11,True,raw,18.63,0.9145
raw_no14,MLP,C12,True,raw,11.67,0.8252
raw_no14,MLP,C44,True,raw,3.52,0.6631
corrected,GP,C11,False,corrected,31.35,0.776
corrected,GP,C12,False,corrected,20.54,0.5239
corrected,GP,C44,False,corrected,4.15,0.5934
corrected,MLP,C11,False,corrected,20.52,0.9109
corrected,MLP,C12,False,corrected,15.39,0.6827
corrected,MLP,C44,False,corrected,3.65,0.6839
corrected_no14,GP,C11,True,corrected,30.55,0.7624
corrected_no14,GP,C12,True,corrected,18.09,0.6304
corrected_no14,GP,C44,True,corrected,4.23,0.5716
corrected_no14,MLP,C11,True,corrected,19.27,0.903
corrected_no14,MLP,C12,True,corrected,12.97,0.7977
corrected_no14,MLP,C44,True,corrected,3.7,0.6579
