tag,cr_count,cr_frac,C11,C12,C44,B,loose_thr,status,A
fe16cr00,0,0.0,312.11,159.57,119.95,210.42,False,ok,1.572702242034876
fe15cr01,1,0.0625,277.58,144.98,119.55,189.18,False,ok,1.8031674208144797
fe14cr02,2,0.125,258.07,137.14,126.65,177.45,False,ok,2.094600181923427
fe13cr03,3,0.1875,195.66,105.29,110.95,135.42,False,ok,2.455460883036406
fe12cr04,4,0.25,184.6,99.6,107.2,127.93,False,ok,2.5223529411764707
fe11cr05,5,0.3125,208.4,103.5,111.2,138.47,False,ok,2.1201143946615826
fe10cr06,6,0.375,288.03,157.36,119.98,200.92,False,ok,1.8363817249559966
fe09cr07,7,0.4375,251.47,129.24,119.18,169.98,False,ok,1.9500940849218689
fe08cr08,8,0.5,285.77,161.57,121.45,202.97,False,ok,1.955716586151369
fe07cr09,9,0.5625,318.23,173.93,123.4,222.03,False,ok,1.7103257103257103
fe06cr10,10,0.625,370.86,198.82,127.28,256.17,False,ok,1.4796558939781446
fe05cr11,11,0.6875,386.28,188.18,120.2,254.22,False,ok,1.2135285209490159
fe04cr12,12,0.75,394.01,178.97,112.65,250.65,False,ok,1.0477120535714286
fe03cr13,13,0.8125,406.43,144.63,110.1,231.9,False,ok,0.8411000763941939
fe02cr14,14,0.875,455.57,153.14,106.75,253.95,True,ok,0.7059484839466984
fe01cr15,15,0.9375,425.58,80.18,100.68,195.32,True,ok,0.5829762594093805
fe00cr16,16,1.0,447.87,68.57,100.52,195.0,True,ok,0.5300290007909306
