tag,n_cr,cr_frac,x_cr,C11,C12,C44,B,A,status,noise_C11_2C12,noise_C11_C12,noise_C44,afm_init,vcr_geometry_flag,loose_thr,cr_count
fe16cr00,0,0.0,0.0,312.11,159.57,119.95,210.42,1.572702242034876,ok,1.0,1.0,1.0,False,False,False,0
fe15cr01,1,0.0625,0.0625,277.58,144.98,119.55,189.18,1.80316742081448,ok,1.0,1.0,1.0,False,False,False,1
fe14cr02,2,0.125,0.125,258.07,137.14,126.65,177.45,2.094600181923427,ok,1.0,1.0,1.0,False,False,False,2
fe13cr03,3,0.1875,0.1875,195.66,105.29,110.95,135.42,2.455460883036406,ok,1.0,1.0,1.0,False,False,False,3
fe12cr04,4,0.25,0.25,184.6,99.6,107.2,127.93,2.5223529411764707,ok,1.0,1.0,1.0,False,False,False,4
fe11cr05,5,0.3125,0.3125,208.4,103.5,111.2,138.47,2.1201143946615826,ok,1.0,1.0,1.0,False,False,False,5
fe10cr06,6,0.375,0.375,288.03,157.36,119.98,200.92,1.8363817249559968,ok,1.0,1.0,1.0,False,False,False,6
fe09cr07,7,0.4375,0.4375,251.47,129.24,119.18,169.98,1.9500940849218689,ok,32.54,32.54,32.54,False,True,True,7
fe08cr08,8,0.5,0.5,285.77,161.57,121.45,202.97,1.955716586151369,ok,1.0,1.0,1.0,False,False,False,8
fe07cr09,9,0.5625,0.5625,318.23,173.93,123.4,222.03,1.7103257103257103,ok,1.0,1.0,1.0,False,False,False,9
fe06cr10,10,0.625,0.625,370.86,198.82,127.28,256.17,1.4796558939781446,ok,4.381,4.381,4.381,False,False,True,10
fe05cr11,11,0.6875,0.6875,386.28,188.18,120.2,254.22,1.213528520949016,ok,4.381,4.381,4.381,False,False,True,11
fe04cr12,12,0.75,0.75,394.01,178.97,112.65,250.65,1.0477120535714286,ok,4.381,4.381,4.381,False,False,True,12
fe03cr13,13,0.8125,0.8125,406.43,144.63,110.1,231.9,0.8411000763941939,ok,4.381,4.381,4.381,False,False,True,13
fe02cr14,14,0.875,0.875,455.57,153.14,106.75,253.95,0.7059484839466984,ok,36.141,32.238,32.238,True,True,True,14
fe01cr15,15,0.9375,0.9375,425.58,80.18,100.68,195.32,0.5829762594093805,ok,0.478,0.478,0.478,True,False,False,15
fe00cr16,16,1.0,1.0,447.87,68.57,100.52,195.0,0.5300290007909306,ok,0.478,0.478,0.478,True,False,False,16
