model,dataset,ablated,variant,target,MAE,R2
GP,raw,False,GP_raw_full,C11,45.87,0.5874
GP,raw,False,GP_raw_full,C12,32.69,0.0434
GP,raw,False,GP_raw_full,C44,3.54,0.6521
GP,raw,True,GP_raw_no14,C11,38.8,0.6533
GP,raw,True,GP_raw_no14,C12,24.39,0.4165
GP,raw,True,GP_raw_no14,C44,3.72,0.6227
GP,corrected,False,GP_corr_full,C11,31.35,0.776
GP,corrected,False,GP_corr_full,C12,20.54,0.5239
GP,corrected,False,GP_corr_full,C44,4.15,0.5934
GP,corrected,True,GP_corr_no14,C11,30.55,0.7624
GP,corrected,True,GP_corr_no14,C12,18.09,0.6304
GP,corrected,True,GP_corr_no14,C44,4.23,0.5716
MLP,raw,False,MLP_raw_full,C11,19.24,0.9191
MLP,raw,False,MLP_raw_full,C12,15.59,0.7013
MLP,raw,False,MLP_raw_full,C44,3.26,0.6965
MLP,raw,True,MLP_raw_no14,C11,18.63,0.9145
MLP,raw,True,MLP_raw_no14,C12,11.67,0.8252
MLP,raw,True,MLP_raw_no14,C44,3.52,0.6631
MLP,corrected,False,MLP_corr_full,C11,20.52,0.9109
MLP,corrected,False,MLP_corr_full,C12,15.39,0.6827
MLP,corrected,False,MLP_corr_full,C44,3.65,0.6839
MLP,corrected,True,MLP_corr_no14,C11,19.27,0.903
MLP,corrected,True,MLP_corr_no14,C12,12.97,0.7977
MLP,corrected,True,MLP_corr_no14,C44,3.7,0.6579
