tag,n_cr,strain_type,epsilon,filename,conv_thr,mag_init,feeds_constant,sigma_thr_gpa,afm_init,vcr_geometry_flag,uncertainty_sources
fe16cr00,0,h,-0.01,fecr_fe16cr00_h-0.01.out,1e-08,FM,C11+2C12,1.0,False,False,conv_thr=1e-8(baseline)
fe16cr00,0,h,0.0,fecr_fe16cr00_h0.00.out,1e-08,FM,reference,1.0,False,False,conv_thr=1e-8(baseline)
fe16cr00,0,h,0.01,fecr_fe16cr00_h0.01.out,1e-08,FM,C11+2C12,1.0,False,False,conv_thr=1e-8(baseline)
fe16cr00,0,s,-0.01,fecr_fe16cr00_s-0.01.out,1e-08,FM,C44,1.0,False,False,conv_thr=1e-8(baseline)
fe16cr00,0,s,0.0,fecr_fe16cr00_s0.00.out,1e-08,FM,reference,1.0,False,False,conv_thr=1e-8(baseline)
fe16cr00,0,s,0.01,fecr_fe16cr00_s0.01.out,1e-08,FM,C44,1.0,False,False,conv_thr=1e-8(baseline)
fe16cr00,0,t,-0.01,fecr_fe16cr00_t-0.01.out,1e-08,FM,C11-C12,1.0,False,False,conv_thr=1e-8(baseline)
fe16cr00,0,t,0.0,fecr_fe16cr00_t0.00.out,1e-08,FM,reference,1.0,False,False,conv_thr=1e-8(baseline)
fe16cr00,0,t,0.01,fecr_fe16cr00_t0.01.out,1e-08,FM,C11-C12,1.0,False,False,conv_thr=1e-8(baseline)
fe16cr00,0,vcr,,fecr_fe16cr00_vcr.out,1e-08,FM,geometry,1.0,False,False,conv_thr=1e-8(baseline)
fe15cr01,1,h,-0.01,fecr_fe15cr01_h-0.01.out,1e-08,FM,C11+2C12,1.0,False,False,conv_thr=1e-8(baseline)
fe15cr01,1,h,0.0,fecr_fe15cr01_h0.00.out,1e-08,FM,reference,1.0,False,False,conv_thr=1e-8(baseline)
fe15cr01,1,h,0.01,fecr_fe15cr01_h0.01.out,1e-08,FM,C11+2C12,1.0,False,False,conv_thr=1e-8(baseline)
fe15cr01,1,s,-0.01,fecr_fe15cr01_s-0.01.out,1e-08,FM,C44,1.0,False,False,conv_thr=1e-8(baseline)
fe15cr01,1,s,0.0,fecr_fe15cr01_s0.00.out,1e-08,FM,reference,1.0,False,False,conv_thr=1e-8(baseline)
fe15cr01,1,s,0.01,fecr_fe15cr01_s0.01.out,1e-08,FM,C44,1.0,False,False,conv_thr=1e-8(baseline)
fe15cr01,1,t,-0.01,fecr_fe15cr01_t-0.01.out,1e-08,FM,C11-C12,1.0,False,False,conv_thr=1e-8(baseline)
fe15cr01,1,t,0.0,fecr_fe15cr01_t0.00.out,1e-08,FM,reference,1.0,False,False,conv_thr=1e-8(baseline)
fe15cr01,1,t,0.01,fecr_fe15cr01_t0.01.out,1e-08,FM,C11-C12,1.0,False,False,conv_thr=1e-8(baseline)
fe15cr01,1,vcr,,fecr_fe15cr01_vcr.out,1e-08,FM,geometry,1.0,False,False,conv_thr=1e-8(baseline)
fe14cr02,2,h,-0.01,fecr_fe14cr02_h-0.01.out,1e-08,FM,C11+2C12,1.0,False,False,conv_thr=1e-8(baseline)
fe14cr02,2,h,0.0,fecr_fe14cr02_h0.00.out,1e-08,FM,reference,1.0,False,False,conv_thr=1e-8(baseline)
fe14cr02,2,h,0.01,fecr_fe14cr02_h0.01.out,1e-08,FM,C11+2C12,1.0,False,False,conv_thr=1e-8(baseline)
fe14cr02,2,s,-0.01,fecr_fe14cr02_s-0.01.out,1e-08,FM,C44,1.0,False,False,conv_thr=1e-8(baseline)
fe14cr02,2,s,0.0,fecr_fe14cr02_s0.00.out,1e-08,FM,reference,1.0,False,False,conv_thr=1e-8(baseline)
fe14cr02,2,s,0.01,fecr_fe14cr02_s0.01.out,1e-08,FM,C44,1.0,False,False,conv_thr=1e-8(baseline)
fe14cr02,2,t,-0.01,fecr_fe14cr02_t-0.01.out,1e-08,FM,C11-C12,1.0,False,False,conv_thr=1e-8(baseline)
