tag,n_cr,tier,a,b,c,b_over_a,c_over_a,off_diag_max,off_diag_rms,vol_true_A3,vol_cubic_A3,vol_err_pct,cell_found,stress_xx,stress_yy,stress_zz,stress_P,stress_off_max
fe16cr00,0,A,5.64837,5.64837,5.64837,1.0,1.0,0.0,0.0,180.2061,180.2061,-0.0,True,0.06,0.06,0.06,0.06,0.0
fe15cr01,1,A,5.667992,5.667992,5.667992,1.0,1.0,0.0,0.0,182.0906,182.0906,0.0,True,-0.8,-0.8,-0.8,-0.8,0.0
fe14cr02,2,A,5.676324,5.676324,5.676324,1.0,1.0,0.0,0.0,182.8948,182.8948,0.0,True,-0.27,-0.27,-0.27,-0.27,0.0
fe13cr03,3,A,5.77378,5.622612,5.622612,0.973818,0.973818,0.0,0.0,182.5309,192.4778,-5.1678,True,0.65,0.21,0.21,0.3567,0.0
fe12cr04,4,A,5.791568,5.599124,5.599124,0.966772,0.966772,0.0,0.0,181.5668,194.2623,-6.5352,True,0.53,0.48,0.48,0.4967,0.0
fe11cr05,5,A,5.771268,5.611418,5.611418,0.972302,0.972302,0.023845,0.013767,181.7192,192.2268,-5.4662,True,0.07,0.24,0.24,0.1833,0.01
fe10cr06,6,A,5.780297,5.598561,5.598561,0.968559,0.968559,0.036526,0.021089,181.1615,193.1303,-6.1973,True,0.15,0.55,0.55,0.4167,0.64
fe09cr07,7,A,5.706039,5.637526,5.637526,0.987993,0.987993,0.032495,0.024562,181.3292,185.7822,-2.3969,True,-0.08,0.06,0.06,0.0133,0.12
fe08cr08,8,A,5.656938,5.657123,5.657143,1.000033,1.000036,0.032316,0.032302,181.0104,181.0274,-0.0094,True,0.12,0.12,0.12,0.12,0.02
fe07cr09,9,A,5.64316,5.698692,5.643423,1.009841,1.000047,0.052746,0.032401,181.4574,179.7079,0.9735,True,0.16,-0.24,0.16,0.0267,0.07
fe06cr10,10,B,5.624807,5.728298,5.62512,1.018399,1.000056,0.057315,0.033091,181.2164,177.9602,1.8297,True,0.25,-0.18,0.25,0.1067,0.34
fe05cr11,11,B,5.636858,5.728771,5.636889,1.016306,1.000005,0.01852,0.010692,182.025,179.1065,1.6295,True,0.14,-0.46,0.14,-0.06,0.15
fe04cr12,12,B,5.650392,5.711196,5.650392,1.010761,1.0,1.6e-05,9e-06,182.341,180.3997,1.0761,True,-0.17,-0.4,-0.17,-0.2467,0.0
fe03cr13,13,B,5.675144,5.691323,5.675144,1.002851,1.0,0.0,0.0,183.3019,182.7808,0.2851,True,-0.34,-0.45,-0.34,-0.3767,0.0
fe02cr14,14,C,5.692294,5.692294,5.692294,1.0,1.0,7e-06,7e-06,184.4429,184.4429,-0.0,True,0.04,0.04,0.04,0.04,0.0
fe01cr15,15,C,5.710299,5.710299,5.710299,1.0,1.0,0.0,0.0,186.1987,186.1987,0.0,True,-1.13,-1.13,-1.13,-1.13,0.0
fe00cr16,16,C,5.717526,5.717526,5.717526,1.0,1.0,0.0,0.0,186.9065,186.9065,-0.0,True,-2.03,-2.03,-2.03,-2.03,0.0
