tag,n_cr,final_scf_ok,n_iterations,converged_accuracy,fail_reason,bfgs_scf_cycles,bfgs_steps,conv_thr
fe16cr00,0,True,23,7.4e-09,,2,1,1e-08
fe15cr01,1,True,31,7.8e-11,,5,4,1e-08
fe14cr02,2,True,30,5.2e-11,,3,2,1e-08
fe13cr03,3,True,47,6.1e-11,,8,7,1e-08
fe12cr04,4,True,45,7.6e-11,,7,6,1e-08
fe11cr05,5,True,73,6.2e-11,,9,8,1e-08
fe10cr06,6,True,119,8.4e-11,,6,5,1e-08
fe09cr07,7,False,100,6.4e-10,iteration_budget,9,8,1e-08
fe08cr08,8,True,131,6e-11,,4,3,1e-08
fe07cr09,9,True,121,9.7e-11,,8,7,1e-08
fe06cr10,10,True,192,8.9e-11,,6,5,1e-08
fe05cr11,11,True,69,9.4e-10,,8,7,1e-07
fe04cr12,12,True,87,3e-10,,5,4,1e-07
fe03cr13,13,True,93,8.5e-10,,5,4,1e-07
fe02cr14,14,False,300,1.787e-05,physics_afm_boundary,3,2,1e-07
fe01cr15,15,True,70,2e-08,,8,6,1e-05
fe00cr16,16,True,31,3e-08,,8,5,1e-05
