# system n_sol x_sol SA_eq E_tot mag
FeCr 0 0 5.648369829 -5268.15689949 34.19
FeCr 1 .0625 5.667991792 -5187.11871419 31.57
FeCr 2 .1250 5.676323735 -5106.05220694 27.61
FeCr 3 .1875 5.773779716 -5024.98669745 23.44
FeCr 4 .2500 5.791568340 -4943.89919534 19.06
FeCr 5 .3125 5.771268450 -4862.86014489 18.93
FeCr 6 .3750 5.780297181 -4781.80922349 17.53
FeCr 7 .4375 5.706038572 -4700.75566940 16.19
FeCr 8 .5000 5.656938171 -4619.69034657 14.16
FeCr 9 .5625 5.643160430 -4538.66595433 12.34
FeCr 10 .6250 5.624807381 -4457.63610225 11.02
FeCr 11 .6875 5.636858353 -4376.59831296 9.55
FeCr 12 .7500 5.650392472 -4295.55312291 7.56
FeCr 13 .8125 5.675143966 -4214.53806678 5.43
FeCr 14 .8750 5.692293919 -4133.52802918 3.39
FeCr 15 .9375 5.710299279 -4052.51614402 1.43
FeCr 16 1.0000 5.717525601 -3971.50870744 -0.00
