composition,cr_pct,time,h,P,phase
Fe16Cr0,0.0,0.01058493,0.0006907800000000002,2.593002e-14,loading
Fe16Cr0,0.0,0.01158493,0.001700779999999999,1.412017e-12,loading
Fe16Cr0,0.0,0.01258493,0.0027107799999999994,4.572859e-13,loading
Fe16Cr0,0.0,0.01358493,0.00372078,1.482643e-12,loading
Fe16Cr0,0.0,0.01458493,0.00473078,1.075241e-12,loading
Fe16Cr0,0.0,0.01558493,0.005740779999999999,3.700357e-12,loading
Fe16Cr0,0.0,0.01658493,0.00675078,5.575964e-12,loading
Fe16Cr0,0.0,0.01758493,0.00776078,3.017713e-12,loading
Fe16Cr0,0.0,0.01858493,0.00877078,1.304514e-12,loading
Fe16Cr0,0.0,0.01958493,0.009780780000000001,6.194404e-12,loading
Fe16Cr0,0.0,0.02058493,0.010790779999999998,2.535928e-12,loading
Fe16Cr0,0.0,0.02158493,0.011800779999999999,2.578673e-12,loading
Fe16Cr0,0.0,0.02258493,0.012810779999999999,4.045736e-12,loading
Fe16Cr0,0.0,0.02358493,0.01382078,1.513783e-12,loading
Fe16Cr0,0.0,0.02458493,0.01483078,2.525589e-12,loading
Fe16Cr0,0.0,0.02558493,0.01584078,2.012946e-12,loading
Fe16Cr0,0.0,0.02658493,0.016850780000000003,2.176981e-12,loading
Fe16Cr0,0.0,0.02758493,0.01786078,2.473348e-13,loading
Fe16Cr0,0.0,0.02858493,0.018870779999999997,7.574535e-14,loading
Fe16Cr0,0.0,0.02958493,0.01988078,3.088015e-12,loading
Fe16Cr0,0.0,0.03058493,0.020890779999999998,2.113659e-12,loading
Fe16Cr0,0.0,0.03158493,0.021900779999999995,8.210355e-12,loading
Fe16Cr0,0.0,0.03258493,0.02291078,1.250631e-11,loading
Fe16Cr0,0.0,0.03358493,0.023920779999999996,7.666832e-12,loading
Fe16Cr0,0.0,0.03458493,0.02493078,8.12275e-12,loading
Fe16Cr0,0.0,0.03558493,0.025940779999999997,4.784617e-12,loading
Fe16Cr0,0.0,0.03658493,0.02695078,1.765442e-06,loading
Fe16Cr0,0.0,0.03758493,0.027960779999999998,5.781731e-05,loading
Fe16Cr0,0.0,0.03858493,0.028970779999999995,0.0001342397,loading
